##########################################################################
# Copyright: (c) 2013   Mayo Foundation for Medical Education and 
# Research (MFMER). All rights reserved. MAYO, MAYO CLINIC, and the
# triple-shield Mayo logo are trademarks and service marks of MFMER.
#
# Except as contained in the copyright notice above, or as used to identify 
# MFMER as the author of this software, the trade names, trademarks, service
# marks, or product names of the copyright holder shall not be used in
# advertising, promotion or otherwise in connection with this software without
# prior written authorization of the copyright holder.
# 
# Licensed under the Apache License, Version 2.0 (the "License");
# you may not use this file except in compliance with the License.
# You may obtain a copy of the License at
# 
# http://www.apache.org/licenses/LICENSE-2.0 
# 
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an "AS IS" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and 
# limitations under the License. 
################################################################################
# Adopt SecTag
medication ( s ) on discharge	5.37.106.125	discharge_medications
muscle_tone_exam	6.40.139.199.140.130.75	muscle_tone_exam
musculoskeletal	5.32.77.81.23	musculoskeletal_course
musculoskeletal	5.34.79.103.65.53	musculoskeletal_family_history
musculoskeletal	13.51.157.292.200	musculoskeletal_plan
musculoskeletal	5.39.124.160	musculoskeletal_review
musculoskeletal	6.40.139.200	musculoskeletal_rheumatological_exam
musculoskeletal course	5.32.77.81.23	musculoskeletal_course
musculoskeletal exam	5.32.77.81.23	musculoskeletal_course
musculoskeletal exam	6.40.139.200	musculoskeletal_rheumatological_exam
musculoskeletal extremity	6.40.139.200-26	musculoskeletal_extremity_exam
musculoskeletal extremity exam	6.40.139.200-26	musculoskeletal_extremity_exam
musculoskeletal extremity examination	6.40.139.200-26	musculoskeletal_extremity_exam
musculoskeletal family history	5.34.79.103.65.53	musculoskeletal_family_history
musculoskeletal histopathological studies	6.41.153.271	musculoskeletal_histopathological_studies
musculoskeletal histopathological study	6.41.153.271	musculoskeletal_histopathological_studies
musculoskeletal plan	13.51.157.292.200	musculoskeletal_plan
musculoskeletal rheumatologic	5.32.77.81	musculoskeletal_rheumatological_course
musculoskeletal rheumatologic	6.40.139.200	musculoskeletal_rheumatological_exam
musculoskeletal rheumatologic	5.34.79.103.65	musculoskeletal_rheumatological_family_history
musculoskeletal rheumatologic	13.51.157.292	musculoskeletal_rheumatological_plan
musculoskeletal rheumatologic	5.39.124	musculoskeletal_rheumatological_review
musculoskeletal rheumatological	6.40.139.200	musculoskeletal_rheumatological_exam
musculoskeletal rheumatological	13.51.157.292	musculoskeletal_rheumatological_plan
musculoskeletal rheumatological	5.39.124	musculoskeletal_rheumatological_review
musculoskeletal rheumatological course	5.32.77.81	musculoskeletal_rheumatological_course
musculoskeletal rheumatological exam	6.40.139.200	musculoskeletal_rheumatological_exam
musculoskeletal rheumatological examination	6.40.139.200	musculoskeletal_rheumatological_exam
musculoskeletal rheumatological family history	5.34.79.103.65	musculoskeletal_rheumatological_family_history
musculoskeletal rheumatological plan	13.51.157.292	musculoskeletal_rheumatological_plan
musculoskeletal system	5.32.77.81.23	musculoskeletal_course
musculoskeletal system	5.34.79.103.65.53	musculoskeletal_family_history
musculoskeletal system	13.51.157.292.200	musculoskeletal_plan
musculoskeletal system	5.39.124.160	musculoskeletal_review
musculoskeletal system	6.40.139.200	musculoskeletal_rheumatological_exam
musculoskeletal/extremities	6.40.139.200-26	musculoskeletal_extremity_exam
musculoskeletal/rheumatologic	5.32.77.81	musculoskeletal_rheumatological_course
musculoskeletal/rheumatologic	6.40.139.200	musculoskeletal_rheumatological_exam
musculoskeletal/rheumatologic	5.34.79.103.65	musculoskeletal_rheumatological_family_history
musculoskeletal/rheumatologic	13.51.157.292	musculoskeletal_rheumatological_plan
musculoskeletal/rheumatologic	5.39.124	musculoskeletal_rheumatological_review
musculoskeletal_course	5.32.77.81.23	musculoskeletal_course
musculoskeletal_extremity_exam	6.40.139.200-26	musculoskeletal_extremity_exam
musculoskeletal_family_history	5.34.79.103.65.53	musculoskeletal_family_history
musculoskeletal_histopathological_studies	6.41.153.271	musculoskeletal_histopathological_studies
musculoskeletal_plan	13.51.157.292.200	musculoskeletal_plan
musculoskeletal_review	5.39.124.160	musculoskeletal_review
musculoskeletal_rheumatological_course	5.32.77.81	musculoskeletal_rheumatological_course
musculoskeletal_rheumatological_exam	6.40.139.200	musculoskeletal_rheumatological_exam
musculoskeletal_rheumatological_family_history	5.34.79.103.65	musculoskeletal_rheumatological_family_history
musculoskeletal_rheumatological_plan	13.51.157.292	musculoskeletal_rheumatological_plan
musculoskeletal_rheumatological_review	5.39.124	musculoskeletal_rheumatological_review
my key finding of this patient physical exam be	6.40	physical_examination
my key finding this patient physical exam be	6.40	physical_examination
my key findings of this patient's physical exam are	6.40	physical_examination
myelography	6.41.149.234.162.178	myelography
myocardial biopsy	6.41.153.254	myocardial_biopsy
myocardial_biopsy	6.41.153.254	myocardial_biopsy
nail	6.40.139.190.115	nail_exam
nail exam	6.40.139.190.115	nail_exam
nail examination	6.40.139.190.115	nail_exam
nail_exam	6.40.139.190.115	nail_exam
nails	6.40.139.190.115	nail_exam
name	6.40.139.199.139.124.57	language
name	5.14.21	patient_name
naming	6.40.139.199.139.124.57	language
nasal	5.39.115.134.92	nose_review
nausea vomit regurgitation	5.39.121.148	nausea_vomiting_regurgitation_review
nausea vomiting regurgitation	5.39.121.148	nausea_vomiting_regurgitation_review
nausea_vomiting_regurgitation_review	5.39.121.148	nausea_vomiting_regurgitation_review
neck	5.32.77.72.12.4	neck_course
neck	6.40.139.191.121	neck_exam
neck	13.51.157.283.188.195	neck_plan
neck	5.39.115.133.90	neck_review
neck circumference	6.40.136.180	neck_circumference
neck course	5.32.77.72.12.4	neck_course
neck exam	6.40.139.191.121	neck_exam
neck examination	6.40.139.191.121	neck_exam
neck plan	13.51.157.283.188.195	neck_plan
neck thyroid	6.40.139.191.121	neck_exam
neck/thyroid	6.40.139.191.121	neck_exam
neck_circumference	6.40.136.180	neck_circumference
neck_course	5.32.77.72.12.4	neck_course
neck_exam	6.40.139.191.121	neck_exam
neck_plan	13.51.157.283.188.195	neck_plan
neck_review	5.39.115.133.90	neck_review
neonatal nurse practitioner	3.10.8.22.4	neonatal_nurse_practitioner
neonatal_nurse_practitioner	3.10.8.22.4	neonatal_nurse_practitioner
neoplasm	5.34.79.103.70	oncology_family_history
neoplasms	5.34.79.103.70	oncology_family_history
nephro	13.51.157.299	renal_plan
nephro	5.39.133	renal_review
nephrological	5.39.133	renal_review
nephrology	13.51.157.299	renal_plan
nerve conduction velocities	6.41.147.231	nerve_conduction_velocities
nerve conduction velocity	6.41.147.231	nerve_conduction_velocities
nerve_conduction_velocities	6.41.147.231	nerve_conduction_velocities
nerves.cranial	6.40.139.199.140.127	cranial_nerve_exam
nervescranial	6.40.139.199.140.127	cranial_nerve_exam
nervous system	6.40.139.199	neuro_psych_exam
neuro	5.39.123.154	neurologic_review
neuro	5.32.77.80.21	neurological_course
neuro	6.40.139.199.140	neurological_exam
neuro	5.34.79.103.64.51	neurological_family_history
neuro	13.51.157.291.198	neurological_plan
neuro psych	6.40.139.199	neuro_psych_exam
neuro psych	13.51.157.291	neuro_psych_plan
neuro psych	5.39.123	neuro_psych_review
neuro psych  family history	5.34.79.103.64	neuro_psych__family_history
neuro psych course	5.32.77.80	neuro_psych_course
neuro psych exam	6.40.139.199	neuro_psych_exam
neuro psych examination	6.40.139.199	neuro_psych_exam
neuro psych family history	5.34.79.103.64	neuro_psych__family_history
neuro psych plan	13.51.157.291	neuro_psych_plan
neuro_psych__family_history	5.34.79.103.64	neuro_psych__family_history
neuro_psych_course	5.32.77.80	neuro_psych_course
neuro_psych_exam	6.40.139.199	neuro_psych_exam
neuro_psych_plan	13.51.157.291	neuro_psych_plan
neuro_psych_review	5.39.123	neuro_psych_review
neuro_psychfamily_history	5.34.79.103.64	neuro_psych__family_history
neurologic	5.39.123.154	neurologic_review
neurologic	5.32.77.80.21	neurological_course
neurologic	6.40.139.199.140	neurological_exam
neurologic	5.34.79.103.64.51	neurological_family_history
neurologic	13.51.157.291.198	neurological_plan
neurologic balance coordination	6.40.139.199.140.131	coordination_gait_exam
neurologic balance+coordination	6.40.139.199.140.131	coordination_gait_exam
neurologic deep tendon	6.40.139.199.140.128.68	deep_reflexes
neurologic deep tendon reflex	6.40.139.199.140.128.68	deep_reflexes
neurologic deep tendon reflexes	6.40.139.199.140.128.68	deep_reflexes
neurologic exam cerebral dysfunction	6.40.139.199.140.126	cerebellar_exam
neurologic exam coordination and gait	6.40.139.199.140.131	coordination_gait_exam
neurologic exam coordination gait	6.40.139.199.140.131	coordination_gait_exam
neurologic exam cranial nerve	6.40.139.199.140.127	cranial_nerve_exam
neurologic exam cranial nerves	6.40.139.199.140.127	cranial_nerve_exam
neurologic exam muscle strength and tone	6.40.139.199.140.130	strength_exam
neurologic exam muscle strength tone	6.40.139.199.140.130	strength_exam
neurologic exam reflex	6.40.139.199.140.128	reflex_exam
neurologic exam reflexes	6.40.139.199.140.128	reflex_exam
neurologic exam sensory	6.40.139.199.140.129	sensory_exam
neurologic exam speech	6.40.139.199.140.133	speech_exam
neurologic exam tremor chorea extrapyramidal sign	6.40.139.199.140.132	tremor_exam
neurologic exam tremor chorea or extrapyramidal sign	6.40.139.199.140.132	tremor_exam
neurologic exam tremor chorea or extrapyramidal signs	6.40.139.199.140.132	tremor_exam
neurologic examination	6.40.139.199.140	neurological_exam
neurologic reflex	6.40.139.199.140	neurological_exam
neurologic system	5.39.123.154	neurologic_review
neurologic system	5.32.77.80.21	neurological_course
neurologic system	6.40.139.199.140	neurological_exam
neurologic system	5.34.79.103.64.51	neurological_family_history
neurologic/reflexes	6.40.139.199.140	neurological_exam
neurologic_review	5.39.123.154	neurologic_review
neurological	5.39.123.154	neurologic_review
neurological	5.32.77.80.21	neurological_course
neurological	6.40.139.199.140	neurological_exam
neurological	5.34.79.103.64.51	neurological_family_history
neurological	13.51.157.291.198	neurological_plan
neurological course	5.32.77.80.21	neurological_course
neurological deficit history	5.39.123.154	neurologic_review
neurological deficit history	5.34.79.103.64.51	neurological_family_history
neurological deficits history	5.39.123.154	neurologic_review
neurological deficits history	5.34.79.103.64.51	neurological_family_history
neurological exam	6.40.139.199.140	neurological_exam
neurological examination	6.40.139.199.140	neurological_exam
neurological family history	5.34.79.103.64.51	neurological_family_history
neurological plan	13.51.157.291.198	neurological_plan
neurological risk	5.30.68	neurological_risk_factors
neurological risk factor	5.30.68	neurological_risk_factors
neurological risk factors	5.30.68	neurological_risk_factors
neurological studies	6.41.147	neurological_studies
neurological study	6.41.147	neurological_studies
neurological_course	5.32.77.80.21	neurological_course
neurological_exam	6.40.139.199.140	neurological_exam
neurological_family_history	5.34.79.103.64.51	neurological_family_history
neurological_plan	13.51.157.291.198	neurological_plan
neurological_risk_factors	5.30.68	neurological_risk_factors
neurological_studies	6.41.147	neurological_studies
neurologically	5.39.123.154	neurologic_review
neurologically	5.32.77.80.21	neurological_course
neurologically	6.40.139.199.140	neurological_exam
neurologically	5.34.79.103.64.51	neurological_family_history
neuropsychiatric	5.34.79.103.64	neuro_psych__family_history
neuropsychiatric	5.32.77.80	neuro_psych_course
neuropsychiatric	6.40.139.199	neuro_psych_exam
neuropsychiatric	13.51.157.291	neuro_psych_plan
neuropsychiatric	5.39.123	neuro_psych_review
neuropsychiatric examination	6.40.139.199	neuro_psych_exam
neuropsychiatric examination	13.51.157.291	neuro_psych_plan
neuropsychiatric medication administration history	5.39.123.152	neuropsychiatric_medication_administration_history
neuropsychiatric symptom	5.32.77.80	neuro_psych_course
neuropsychiatric symptoms	5.32.77.80	neuro_psych_course
neuropsychiatric system	5.34.79.103.64	neuro_psych__family_history
neuropsychiatric system	5.39.123	neuro_psych_review
neuropsychiatric_medication_administration_history	5.39.123.152	neuropsychiatric_medication_administration_history
new family medical history since last visit	5.34.79	family_medical_history
nicu course	5.32.76.68	nicu_course
nicu_course	5.32.76.68	nicu_course
nka admit diagnosis	5.22	diagnoses
nnp	3.10.8.22.4	neonatal_nurse_practitioner
node	6.40.139.193.123	lymphatic_exam
node survey	6.40.139.193.123	lymphatic_exam
nodes	6.40.139.193.123	lymphatic_exam
non anatomic examinations	6.40.140	non_anatomic_exam
non anatomical examination	6.40.140	non_anatomic_exam
non_anatomic_exam	6.40.140	non_anatomic_exam
nonanatomic exam	6.40.140	non_anatomic_exam
nonphysician	3.10.8	nonphysician
nose	5.32.77.72.13.6	nose_course
nose	6.40.139.191.120.81	nose_exam
nose	13.51.157.283.189.197	nose_plan
nose	5.39.115.134.92	nose_review
nose course	5.32.77.72.13.6	nose_course
nose exam	6.40.139.191.120.81	nose_exam
nose examination	6.40.139.191.120.81	nose_exam
nose plan	13.51.157.283.189.197	nose_plan
nose_course	5.32.77.72.13.6	nose_course
nose_exam	6.40.139.191.120.81	nose_exam
nose_plan	13.51.157.283.189.197	nose_plan
nose_review	5.39.115.134.92	nose_review
nostril	6.40.139.191.120.79.29	nostril_exam
nostril exam	6.40.139.191.120.79.29	nostril_exam
nostril examination	6.40.139.191.120.79.29	nostril_exam
nostril_exam	6.40.139.191.120.79.29	nostril_exam
note	25	comment
nurse practitioner	3.10.8.22	nurse_practitioner
nurse_practitioner	3.10.8.22	nurse_practitioner
nursery course	5.32.76.67	nursery_course
nursery_course	5.32.76.67	nursery_course
nutrition	5.24	diet
nutrition	5.32.77.88.29	nutrition_course
nutrition	13.51.157.300.210	nutrition_plan
nutrition course	5.32.77.88.29	nutrition_course
nutrition plan	13.51.157.300.210	nutrition_plan
nutrition_course	5.32.77.88.29	nutrition_course
nutrition_plan	13.51.157.300.210	nutrition_plan
o	6	objective_data
o2 sat	6.40.136.177	oxygen_saturation
o2 sit	6.40.136.177	oxygen_saturation
o2sat	6.40.136.177	oxygen_saturation
ob gyn history	5.35.91	reproductive_history
ob history	5.35.91.108	obstetric_history
ob/gyn history	5.35.91	reproductive_history
obj	6	objective_data
objective	6	objective_data
objective data	6	objective_data
objective_data	6	objective_data
obstetric and gynecologic	5.35.91	reproductive_history
obstetric gynecologic	5.35.91	reproductive_history
obstetric history	5.35.91.108	obstetric_history
obstetric prenatal history	5.35.91	reproductive_history
obstetric/prenatal history	5.35.91	reproductive_history
obstetric_history	5.35.91.108	obstetric_history
occipital ln	6.40.139.193.123.95	occipital_ln_exam
occipital ln exam	6.40.139.193.123.95	occipital_ln_exam
occipital ln examination	6.40.139.193.123.95	occipital_ln_exam
occipital_ln_exam	6.40.139.193.123.95	occipital_ln_exam
occipitofrontal diameter	6.40.136.175	occipitofrontal_diameter
occipitofrontal_diameter	6.40.136.175	occipitofrontal_diameter
occular adnexa	6.40.139.191.120.80.37	occular_adnexa
occular motility	6.40.139.191.120.80.33	extraocular_muscle_exam
occular_adnexa	6.40.139.191.120.80.37	occular_adnexa
occupation	5.34.78.91	occupational_history
occupational and environmental history	5.34.78.91-18	occupational_environmental_history
occupational environmental history	5.34.78.91-18	occupational_environmental_history
occupational history	5.34.78.91	occupational_history
occupational_environmental_history	5.34.78.91-18	occupational_environmental_history
occupational_history	5.34.78.91	occupational_history
ofc	6.40.136.175	occipitofrontal_diameter
onc	13.51.157.286	oncology_plan
onc history	5.35.82.104	oncologic_history
oncologic	5.39.131	oncologic_review
oncologic	5.32.77.86	oncology_course
oncologic	5.34.79.103.70	oncology_family_history
oncologic	13.51.157.286	oncology_plan
oncologic history	5.35.82.104	oncologic_history
oncologic_history	5.35.82.104	oncologic_history
oncologic_review	5.39.131	oncologic_review
oncological	6.40.139.193.125	oncology_exam
oncology	5.39.131	oncologic_review
oncology	5.32.77.86	oncology_course
oncology	6.40.139.193.125	oncology_exam
oncology	5.34.79.103.70	oncology_family_history
oncology	13.51.157.286	oncology_plan
oncology course	5.32.77.86	oncology_course
oncology exam	6.40.139.193.125	oncology_exam
oncology examination	6.40.139.193.125	oncology_exam
oncology family history	5.34.79.103.70	oncology_family_history
oncology history	5.35.82.104	oncologic_history
oncology plan	13.51.157.286	oncology_plan
oncology_course	5.32.77.86	oncology_course
oncology_exam	6.40.139.193.125	oncology_exam
oncology_family_history	5.34.79.103.70	oncology_family_history
oncology_plan	13.51.157.286	oncology_plan
op	5.39.115.134.93	oral_cavity
op	5.32.77.72.15	oral_cavity_course
op	5.39.115.136	oropharyngeal_review
op	6.40.139.191.120.83	oropharynx_exam
open lung biopsy	6.41.153.247.175.190	open_lung_biopsy
open_lung_biopsy	6.41.153.247.175.190	open_lung_biopsy
operate room consultation	3.11.11.27	operating_room_consultation
operating room consultation	3.11.11.27	operating_room_consultation
operating_room_consultation	3.11.11.27	operating_room_consultation
operation	5.23.52	surgical_procedures
operation and procedure	5.23.52	surgical_procedures
operation perform	5.23.52	surgical_procedures
operation performed	5.23.52	surgical_procedures
operation procedure	5.23.52	surgical_procedures
operations and procedures	5.23.52	surgical_procedures
